# Name	Latitude	Longitude	X (meters)	Y (meters)	Used in LWA-352?
LWA-288	37.243196450	-118.290323600	-768.10	379.47	YES
LWA-289	37.234001217	-118.288418006	-599.10	-641.05	YES
LWA-290	37.235815632	-118.289493172	-694.49	-439.68	YES
LWA-291	37.241985888	-118.293192391	-1022.66	245.12	YES
LWA-292	37.240744534	-118.291961300	-913.44	107.35	YES
LWA-293	37.241126663	-118.282309900	-57.07	149.76	YES
LWA-294	37.241149554	-118.281229492	38.79	152.30	YES
LWA-295	37.240949891	-118.287856200	-549.19	130.14	YES
LWA-296	37.241878308	-118.289710800	-713.74	233.18	YES
LWA-297	37.249587912	-118.280886014	69.26	1088.82	YES
LWA-298	37.249582986	-118.277760800	346.53	1088.27	YES
LWA-299	37.236551274	-118.277757100	346.92	-358.03	YES
LWA-300	37.237850943	-118.277204800	395.92	-213.79	YES
LWA-301	37.236125908	-118.287408000	-509.46	-405.24	YES
LWA-302	37.233931629	-118.285614288	-350.30	-648.77	YES
LWA-303	37.237327621	-118.286242800	-406.06	-271.87	YES
LWA-304	37.239137847	-118.283250000	-140.49	-70.97	YES
LWA-305	37.239939457	-118.286383300	-418.51	18.00	YES
LWA-306	37.238324558	-118.287730225	-538.03	-161.23	YES
LWA-307	37.244359764	-118.284470500	-248.77	508.58	YES
LWA-308	37.245337660	-118.284452100	-247.13	617.11	YES
LWA-309	37.245956582	-118.281839600	-15.34	685.80	YES
LWA-310	37.245198302	-118.282328626	-58.73	601.64	YES
LWA-311	37.242837357	-118.286621821	-439.66	339.62	YES
LWA-312	37.243932583	-118.287483400	-516.10	461.17	YES
LWA-313	37.243405367	-118.278796119	254.70	402.66	YES
LWA-314	37.243256715	-118.280347100	117.08	386.16	YES
LWA-315	37.237482780	-118.292503200	-961.57	-254.65	YES
LWA-316	37.238482016	-118.292946100	-1000.85	-143.75	YES
LWA-317	37.238265240	-118.286119300	-395.09	-167.81	YES
LWA-318	37.237573101	-118.284731265	-271.93	-244.63	YES
LWA-319	37.243838991	-118.295125432	-1194.15	450.78	YES
LWA-320	37.243810132	-118.292341600	-947.15	447.58	YES
LWA-321	37.246296136	-118.287564500	-523.27	723.48	YES
LWA-322	37.248748175	-118.289479700	-693.18	995.62	YES
LWA-323	37.241610520	-118.279314600	208.70	203.46	YES
LWA-324	37.239946035	-118.278605965	271.58	18.73	YES
LWA-325	37.248109610	-118.276984400	415.42	924.75	YES
LWA-326	37.246362139	-118.278348300	294.42	730.81	YES
LWA-327	37.247565425	-118.286491282	-428.05	864.35	YES
LWA-328	37.249231527	-118.286765333	-452.35	1049.26	YES
LWA-329	37.247622329	-118.278832000	251.50	870.67	YES
LWA-330	37.246827885	-118.280145000	135.01	782.50	YES
LWA-331	37.247979016	-118.281623757	3.81	910.26	YES
